1,4k3/8/4K3/5P2/3P4/8/8/8 b - - 0 54,1-0
1,3k4/8/4K3/5P2/3P4/8/8/8 w - - 1 55,1-0
1,3k4/8/4K3/3P1P2/8/8/8/8 b - - 0 55,1-0
1,4k3/8/4K3/3P1P2/8/8/8/8 w - - 1 56,1-0
1,4k3/8/3PK3/5P2/8/8/8/8 b - - 0 56,1-0
1,5k2/8/3PK3/5P2/8/8/8/8 w - - 1 57,1-0
1,5k2/3P4/4K3/5P2/8/8/8/8 b - - 0 57,1-0
1,8/3P2k1/4K3/5P2/8/8/8/8 w - - 1 58,1-0
1,3Q4/6k1/4K3/5P2/8/8/8/8 b - - 0 58,1-0
1,3Q4/8/4K2k/5P2/8/8/8/8 w - - 1 59,1-0
1,8/8/4KQ1k/5P2/8/8/8/8 b - - 2 59,1-0
1,8/8/4KQ2/5P1k/8/8/8/8 w - - 3 60,1-0
1,5Q2/8/4K3/5P1k/8/8/8/8 b - - 4 60,1-0
1,5Q2/8/4K3/5P2/6k1/8/8/8 w - - 5 61,1-0
1,5Q2/8/4KP2/8/6k1/8/8/8 b - - 0 61,1-0
1,5Q2/8/4KP2/8/8/5k2/8/8 w - - 1 62,1-0
1,5Q2/5P2/4K3/8/8/5k2/8/8 b - - 0 62,1-0
1,5Q2/5P2/4K3/8/8/4k3/8/8 w - - 1 63,1-0
1,6Q1/5P2/4K3/8/8/4k3/8/8 b - - 2 63,1-0
1,6Q1/5P2/4K3/8/3k4/8/8/8 w - - 3 64,1-0
1,5QQ1/8/4K3/8/3k4/8/8/8 b - - 0 64,1-0
1,5QQ1/8/4K3/8/8/2k5/8/8 w - - 1 65,1-0
1,6Q1/8/4K3/5Q2/8/2k5/8/8 b - - 2 65,1-0
1,6Q1/8/4K3/5Q2/3k4/8/8/8 w - - 3 66,1-0
1,8/8/4K3/5Q2/3k2Q1/8/8/8 b - - 4 66,1-0
1,8/5R2/8/8/1p6/1PkP4/2P4r/2K5 w - - 1 39,1-0
1,8/2R5/8/8/1p1k4/1P1P4/2P4r/2K5 w - - 3 40,1-0
1,8/2R5/8/8/1p1k4/1P1P4/1KP5/7r w - - 5 41,1-0
1,8/8/8/8/1pR5/1P1Pk3/1KP5/7r w - - 7 42,1-0
1,8/8/8/8/1R6/1P1Pk3/1KP5/7r b - - 0 42,1-0
1,8/6pk/3r4/8/R5p1/7P/5PK1/8 w - - 0 37,1/2
1,8/6pk/3r4/8/R5P1/8/5PK1/8 b - - 0 37,1/2
1,8/6p1/3r3k/8/R5P1/8/5PK1/8 w - - 1 38,1/2
1,8/6p1/3r3k/R7/6P1/8/5PK1/8 b - - 2 38,1/2
1,8/8/3r3k/R5p1/6P1/8/5PK1/8 w - g6 0 39,1/2
1,8/8/3r3k/5Rp1/6P1/8/5PK1/8 b - - 1 39,1/2
1,8/8/3r2k1/5Rp1/6P1/8/5PK1/8 w - - 2 40,1/2
1,8/8/3r2k1/5Rp1/6P1/6K1/5P2/8 b - - 3 40,1/2
1,8/8/r5k1/5Rp1/6P1/6K1/5P2/8 w - - 4 41,1/2
1,8/8/r5k1/5Rp1/5PP1/6K1/8/8 b - f3 0 41,1/2
1,8/8/6k1/5Rp1/5PP1/r5K1/8/8 w - - 1 42,1/2
1,8/8/6k1/5Rp1/5PP1/r7/5K2/8 b - - 2 42,1/2
1,8/8/6k1/5R2/5pP1/r7/5K2/8 w - - 0 43,1/2
1,8/8/6k1/8/5RP1/r7/5K2/8 b - - 0 43,1/2
1,8/8/8/6k1/5RP1/r7/5K2/8 w - - 1 44,1/2
1,8/8/8/6k1/2R3P1/r7/5K2/8 b - - 2 44,1/2
1,8/8/8/r5k1/2R3P1/8/5K2/8 w - - 3 45,1/2
1,8/8/8/r5k1/4R1P1/8/5K2/8 b - - 4 45,1/2
1,8/8/8/6k1/4R1P1/8/r4K2/8 w - - 5 46,1/2
1,8/8/8/6k1/4R1P1/5K2/r7/8 b - - 6 46,1/2
1,8/8/8/6k1/4R1P1/r4K2/8/8 w - - 7 47,1/2
1,8/8/8/6k1/6P1/r3RK2/8/8 b - - 8 47,1/2
1,8/8/8/6k1/6P1/4rK2/8/8 w - - 0 48,1/2
1,8/8/8/6k1/6P1/4K3/8/8 b - - 0 48,1/2
1,8/8/8/8/6k1/4K3/8/8 w - - 0 49,1/2
1,8/5pkp/5bp1/8/8/8/BrK5/8 w - - 1 53,0-1
1,8/5pkp/5bp1/8/8/3K4/r7/8 w - - 0 54,0-1
1,5R2/1r6/5p2/6pp/5k2/8/5PK1/8 w - - 0 43,0-1
1,8/1r6/5R2/6pp/5k2/8/5PK1/8 b - - 0 43,0-1
1,8/1r6/5R2/6pp/6k1/8/5PK1/8 w - - 1 44,0-1
1,8/1r6/5R2/6pp/6k1/5P2/6K1/8 b - - 0 44,0-1
1,8/1r6/5R2/6pp/7k/5P2/6K1/8 w - - 1 45,0-1
1,8/1r6/4R3/6pp/7k/5P2/6K1/8 b - - 2 45,0-1
1,8/8/4R3/6pp/7k/5P2/1r4K1/8 w - - 3 46,0-1
1,8/8/4R3/6pp/7k/5P2/1r6/6K1 b - - 4 46,0-1
1,8/8/4R3/6pp/8/5Pk1/1r6/6K1 w - - 5 47,0-1
